Tempo origine (UTC),Magnitudo,Latitudine N,Longitudine E,Profondità (km)
2014/09/28 02:47:28.85,0.1,40.8207,14.1392,1.27,Revisionato
2014/09/28 03:39:40.28,-0.3,40.8230,14.1387,1.67,Revisionato
2014/09/28 11:25:47.33,-0.1,40.8200,14.1462,0.16,Revisionato
2014/10/04 06:22:45.49,-0.1,40.8203,14.1443,0.17,Revisionato
2014/10/04 06:55:30.86,-0.3,40.8207,14.1438,0.14,Revisionato
2014/10/12 01:53:41.72,0.1,40.8247,14.1383,1.21,Revisionato
2014/10/23 10:24:5.99,-0.5,40.8190,14.1402,0.96,Revisionato
2014/10/25 19:29:28.96,0.5,40.8207,14.1488,1.62,Revisionato
2014/10/25 19:30:5.10,-0.3,40.8255,14.1415,1.18,Revisionato
2014/10/25 19:30:12.15,-0.3,40.8212,14.1487,1.56,Revisionato
2014/10/25 22:34:35.02,0.4,40.8203,14.1517,1.65,Revisionato
2014/10/30 12:53:59.16,0.1,40.8213,14.1435,0.44,Revisionato
2014/10/30 12:54:47.05,-1.0,40.8247,14.1420,1.30,Revisionato
2014/10/30 12:54:51.02,1.9,40.8228,14.1455,0.83,Revisionato
2014/11/21 17:46:59.59,-0.3,40.8228,14.1433,0.18,Revisionato
2014/11/21 17:47:18.74,-0.8,40.8250,14.1467,0.28,Revisionato
2014/11/21 17:47:40.98,-0.8,40.8225,14.1438,0.20,Revisionato
2014/11/21 17:47:47.42,-1.0,40.8223,14.1440,0.38,Revisionato
2014/11/21 17:48:47.94,0.2,40.8217,14.1447,0.03,Revisionato
2014/11/22 11:52:25.41,-0.5,40.8242,14.1367,0.71,Revisionato
2015/02/02 22:01:6.66,0.9,40.8402,14.1287,1.06,Revisionato
2015/02/25 21:10:10.27,-0.1,40.8377,14.1357,1.07,Revisionato
2015/03/02 19:45:49.90,-0.3,40.8207,14.1393,1.28,Revisionato
2015/03/02 19:48:2.36,-0.3,40.8207,14.1380,1.62,Revisionato
2015/03/02 19:48:12.91,0.7,40.8207,14.1405,1.74,Revisionato
2015/03/02 21:17:34.59,0.2,40.8207,14.1393,1.45,Revisionato
2015/03/03 22:10:56.59,-0.1,40.8193,14.1517,1.28,Revisionato
2015/03/03 22:36:31.04,0.4,40.8213,14.1517,1.17,Revisionato
2015/03/03 22:40:14.52,-0.5,40.8213,14.1462,0.07,Revisionato
2015/03/03 22:42:59.12,-0.1,40.8248,14.1462,1.17,Revisionato
2015/03/03 22:44:14.19,-0.5,40.8213,14.1455,0.72,Revisionato
2015/03/03 22:47:24.76,-0.5,40.8203,14.1497,1.32,Revisionato
2015/03/03 22:49:47.68,1.8,40.8267,14.1455,1.72,Revisionato
2015/03/07 11:31:49.74,-1.0,40.8215,14.1443,0.46,Revisionato
2015/03/07 11:32:55.89,-1.0,40.8205,14.1432,0.11,Revisionato
2015/03/13 03:16:59.59,-1.0,40.8207,14.1360,1.11,Revisionato
2015/03/13 03:21:14.74,-0.5,40.8227,14.1383,1.32,Revisionato
2015/03/16 04:42:22.99,-0.5,40.8215,14.1437,0.32,Revisionato
2015/03/21 23:28:54.97,0.2,40.8267,14.1418,1.10,Revisionato
2015/03/25 00:48:9.97,-0.3,40.8237,14.1353,1.63,Revisionato
